Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
man,sit,2546,1134,10
old,fellow,1356,375,19
time,begin,2625,1745,10
whole,heart,889,897,11
marshal,wife,22,408,13
semyon,yakovlevitch,51,37,37
good,spirit,1595,146,10
fifty,thousand,102,614,20
fifty,franc,102,50,12
thousand,franc,614,50,33
intimate,friend,45,606,12
oh,course,1118,1125,15
man,world,2546,429,11
arina,prohorovna,44,44,39
lady,house,681,888,13
love,god,1234,803,11
cry,voice,1704,588,14
cry,madame,1704,247,11
love,humanity,1234,101,13
sit,silent,1134,291,10
front,door,97,750,14
great,agitation,1202,78,12
cover,face,153,1410,13
full,speed,302,18,14
put,finger,1071,192,11
year,age,871,157,20
lady,gentleman,681,637,15
something,kind,1444,278,10
prince,think,1984,2317,11
prince,tell,1984,2482,15
ask,prince,1621,1984,49
general,prince,935,1984,11
marya,ignatyevna,125,45,15
pyotr,ilyitch,834,100,92
general,widow,935,92,11
sofya,matveyevna,135,51,51
little,bag,1465,67,19
real,life,215,1043,23
dear,friend,480,606,13
sublime,beautiful,20,100,14
lend,money,35,993,13
fourteen,year,26,871,11
look,father,2970,1140,10
fyodor,pavlovitch,306,461,291
alexey,fyodorovitch,226,327,106
alexey,karamazov,226,168,11
fyodorovitch,karamazov,327,168,12
adelaïda,ivanovna,14,635,14
old,grigory,1356,188,11
pyotr,alexandrovitch,834,55,37
dmitri,fyodorovitch,427,327,162
mitya,hand,911,1662,10
elder,brother,250,548,12
yefim,petrovitch,11,331,11
ivan,fyodorovitch,797,327,55
brother,dmitri,548,427,31
brother,ivan,548,797,32
love,man,1234,2546,17
look,alyosha,2970,1239,18
alyosha,look,1239,2970,27
thou,wouldst,169,13,11
father,zossima,1140,97,87
ivan,alyosha,797,1239,14
cry,fyodor,1704,306,12
cry,pavlovitch,1704,461,12
von,sohn,74,19,19
madame,hohlakov,247,93,90
holy,father,119,1140,13
father,païssy,1140,73,72
alyosha,stand,1239,1039,11
doctor,herzenstube,263,32,15
father,iosif,1140,19,19
ask,ivan,1621,797,12
ivan,ask,797,1621,10
mitya,cry,911,1704,15
ask,alyosha,1621,1239,25
answer,alyosha,818,1239,18
mutter,alyosha,297,1239,11
old,merchant,1356,82,10
alyosha,ask,1239,1621,12
cry,alyosha,1704,1239,31
sort,woman,699,1047,10
marfa,ignatyevna,143,45,30
grigory,vassilyevitch,188,29,28
young,gentleman,776,637,11
green,bench,70,75,12
mitya,look,911,2970,16
alyosha,hand,1239,1662,10
dmitri,karamazov,427,168,21
cry,mitya,1704,911,56
alyosha,smile,1239,734,16
laugh,talk,1027,1065,11
alyosha,sit,1239,1134,12
ivan,cry,797,1704,18
great,curiosity,1202,157,11
dear,alexey,480,226,15
cry,ivan,1704,797,26
alyosha,ivan,1239,797,15
alyosha,tell,1239,2482,12
exclaim,alyosha,181,1239,11
alyosha,felt,1239,657,11
alyosha,answer,1239,818,13
agrafena,alexandrovna,41,242,39
father,blood,1140,221,10
alyosha,cry,1239,1704,11
father,ferapont,1140,35,33
dear,fyodorovitch,480,327,13
wisp,tow,18,16,14
brother,fyodorovitch,548,327,12
ivan,laugh,797,1027,11
marya,kondratyevna,125,26,26
ivan,begin,797,1745,11
laugh,ivan,1027,797,11
till,morning,389,497,14
kill,father,432,1140,28
father,teacher,1140,74,11
good,fellow,1595,375,15
think,mitya,2317,911,11
kuzma,kuzmitch,29,20,20
mitya,tell,911,2482,10
cry,grushenka,1704,364,10
mitya,sit,911,1134,11
mitya,begin,911,1745,13
brass,pestle,17,39,12
ask,mitya,1621,911,12
trifon,borissovitch,45,39,39
pole,sofa,125,258,11
pan,vrublevsky,29,24,15
mihail,makarovitch,25,21,21
mavriky,mavrikyevitch,149,11,11
murder,father,412,1140,27
ippolit,kirillovitch,43,41,41
nikolay,parfenovitch,518,103,103
investigate,lawyer,31,102,24
preliminary,inquiry,20,79,11
counsel,defense,41,49,18
gentleman,jury,637,62,44
grow,pale,343,238,18
bad,action,376,157,11
polina,alexandrovna,149,242,11
mlle,blanche,141,104,75
mlle,polina,141,149,26
alexis,ivanovitch,32,82,31
zero,turn,39,1279,11
thousand,florin,614,20,15
thousand,gülden,614,69,10
general,epanchin,935,204,52
prince,lef,1984,43,12
prince,nicolaievitch,1984,41,11
prince,muishkin,1984,129,36
lef,nicolaievitch,43,41,41
reply,prince,313,1984,17
prince,look,1984,2970,22
nastasia,philipovna,417,251,243
prince,observe,1984,415,11
turn,prince,1279,1984,11
prince,rise,1984,287,14
cry,lebedeff,1704,375,18
prince,ask,1984,1621,14
look,prince,2970,1984,11
begin,prince,1745,1984,20
madame,epanchin,247,204,10
gavrila,ardalionovitch,61,67,58
cry,prince,1704,1984,40
think,prince,2317,1984,17
ivan,fedorovitch,797,34,33
prince,laugh,1984,1027,17
nina,alexandrovna,93,242,67
cry,gania,1704,378,15
ardalion,alexandrovitch,16,55,15
epanchin,family,204,388,11
cry,aglaya,1704,480,17
cry,epanchin,1704,204,13
prince,sit,1984,1134,10
princess,bielokonski,54,31,26
prince,felt,1984,657,12
prince,begin,1984,1745,13
prince,smile,1984,734,11
continue,prince,234,1984,11
lizabetha,prokofievna,185,177,171
aglaya,ivanovna,480,635,59
dear,prince,480,1984,25
prince,hand,1984,1662,13
varvara,ardalionovna,474,23,21
general,ivolgin,935,49,34
ivan,petrovitch,797,331,32
laugh,prince,1027,1984,10
cry,nastasia,1704,417,13
prince,blush,1984,115,12
oh,prince,1118,1984,10
evgenie,pavlovitch,227,461,158
prince,lebedeff,1984,375,11
lebedeff,nephew,375,49,25
poor,knight,422,34,21
prince,evgenie,1984,227,12
pavlicheff,son,65,307,14
cry,lizabetha,1704,185,12
cry,prokofievna,1704,177,12
vera,lebedeff,51,375,16
